rank,method,method_group,dataset,split,threshold,weak_threshold,strong_threshold,accuracy,precision,recall,false_hit_rate,false_miss_rate,f1,auto_hit_count,review_count,miss_count,false_hit_count,false_miss_count,true_hit_count,true_miss_count,review_rate,recommended_for_integration,notes
1,dual-threshold fusion,rule-fusion,real_eval_200,test,,0.7,0.78,0.931,1.0,0.7143,0.0,0.2857,0.8333,5,0,24,0,2,5,22,0.0,Candidate,"current runtime candidate: auto_hit/review/miss, review kept for risk control"
2,image-only,single-score,real_eval_200,test,0.74,,,0.931,1.0,0.7143,0.0,0.2857,0.8333,5,0,24,0,2,5,22,0.0,False,best threshold scanned 0.50-0.90 on val
3,RandomForest,real-trained learning,real_eval_200,test,0.68,,,0.931,1.0,0.7143,0.0,0.2857,0.8333,5,0,24,0,2,5,22,0.0,False,trained on real_eval_200 train split; threshold selected on val by false_hit priority; no metadata features used
4,text-only,single-score,real_eval_200,test,0.76,,,0.7586,0.0,0.0,0.0,1.0,0.0,0,0,29,0,7,0,22,0.0,False,best threshold scanned 0.50-0.90 on val
5,rule-fusion 0.5/0.5 best-threshold,rule-fusion,real_eval_200,test,0.65,,,0.8621,0.7143,0.7143,0.0909,0.2857,0.7143,7,0,22,2,2,5,20,0.0,False,best threshold scanned 0.50-0.90 on val
6,Logistic Regression,real-trained learning,real_eval_200,test,0.64,,,0.8621,0.7143,0.7143,0.0909,0.2857,0.7143,7,0,22,2,2,5,20,0.0,False,trained on real_eval_200 train split; threshold selected on val by false_hit priority; no metadata features used
7,MLPClassifier,real-trained learning,real_eval_200,test,0.73,,,0.8621,0.7143,0.7143,0.0909,0.2857,0.7143,7,0,22,2,2,5,20,0.0,False,trained on real_eval_200 train split; threshold selected on val by false_hit priority; no metadata features used
8,rule-fusion 0.5/0.5 fixed@0.60,rule-fusion,real_eval_200,test,0.6,,,0.7241,0.4545,0.7143,0.2727,0.2857,0.5556,11,0,18,6,2,5,16,0.0,False,historical fixed threshold baseline
9,public-trained RandomForest transfer,public-trained transfer,real_eval_200,test,0.5,,,0.3103,0.24,0.8571,0.8636,0.1429,0.375,25,0,4,19,1,6,3,0.0,False,public-trained model transfer; no refit on real_eval_200; default threshold=0.5
10,public-trained Logistic Regression transfer,public-trained transfer,real_eval_200,test,0.5,,,0.2759,0.25,1.0,0.9545,0.0,0.4,28,0,1,21,0,7,1,0.0,False,public-trained model transfer; no refit on real_eval_200; default threshold=0.5
11,public-trained MLPClassifier transfer,public-trained transfer,real_eval_200,test,0.5,,,0.2759,0.25,1.0,0.9545,0.0,0.4,28,0,1,21,0,7,1,0.0,False,public-trained model transfer; no refit on real_eval_200; default threshold=0.5
